2024-07-27 00:27:55,271 INFO    StreamThr :1467183 [internal.py:wandb_internal():85] W&B internal server running at pid: 1467183, started at: 2024-07-27 00:27:55.271142
2024-07-27 00:27:55,273 DEBUG   HandlerThread:1467183 [handler.py:handle_request():158] handle_request: status
2024-07-27 00:27:55,275 INFO    WriterThread:1467183 [datastore.py:open_for_write():87] open: /media/mountHDD2/chuyenmt/BrEaST/Eff-UNet_Breast_Tumor_Segmentation/wandb/run-20240727_002755-h3nugpnv/run-h3nugpnv.wandb
2024-07-27 00:27:55,276 DEBUG   SenderThread:1467183 [sender.py:send():378] send: header
2024-07-27 00:27:55,277 DEBUG   SenderThread:1467183 [sender.py:send():378] send: run
2024-07-27 00:27:55,943 INFO    SenderThread:1467183 [dir_watcher.py:__init__():211] watching files in: /media/mountHDD2/chuyenmt/BrEaST/Eff-UNet_Breast_Tumor_Segmentation/wandb/run-20240727_002755-h3nugpnv/files
2024-07-27 00:27:55,943 INFO    SenderThread:1467183 [sender.py:_start_run_threads():1123] run started: h3nugpnv with start time 1722014875.270766
2024-07-27 00:27:55,952 DEBUG   HandlerThread:1467183 [handler.py:handle_request():158] handle_request: check_version
2024-07-27 00:27:55,953 DEBUG   SenderThread:1467183 [sender.py:send_request():405] send_request: check_version
2024-07-27 00:27:56,238 DEBUG   HandlerThread:1467183 [handler.py:handle_request():158] handle_request: run_start
2024-07-27 00:27:56,243 DEBUG   HandlerThread:1467183 [system_info.py:__init__():26] System info init
2024-07-27 00:27:56,243 DEBUG   HandlerThread:1467183 [system_info.py:__init__():41] System info init done
2024-07-27 00:27:56,243 INFO    HandlerThread:1467183 [system_monitor.py:start():194] Starting system monitor
2024-07-27 00:27:56,243 INFO    SystemMonitor:1467183 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-27 00:27:56,243 INFO    HandlerThread:1467183 [system_monitor.py:probe():214] Collecting system info
2024-07-27 00:27:56,244 INFO    SystemMonitor:1467183 [interfaces.py:start():188] Started cpu monitoring
2024-07-27 00:27:56,245 INFO    SystemMonitor:1467183 [interfaces.py:start():188] Started disk monitoring
2024-07-27 00:27:56,246 INFO    SystemMonitor:1467183 [interfaces.py:start():188] Started gpu monitoring
2024-07-27 00:27:56,247 INFO    SystemMonitor:1467183 [interfaces.py:start():188] Started memory monitoring
2024-07-27 00:27:56,248 INFO    SystemMonitor:1467183 [interfaces.py:start():188] Started network monitoring
2024-07-27 00:27:56,273 DEBUG   HandlerThread:1467183 [system_info.py:probe():150] Probing system
2024-07-27 00:27:56,276 DEBUG   HandlerThread:1467183 [system_info.py:_probe_git():135] Probing git
2024-07-27 00:27:56,283 DEBUG   HandlerThread:1467183 [system_info.py:_probe_git():143] Probing git done
2024-07-27 00:27:56,284 DEBUG   HandlerThread:1467183 [system_info.py:probe():198] Probing system done
